,Country,Species,Year,aq_TON,aq_TON_Value,aq_TON_Flags,COUNTRY_YEAR_SPECIES,aq_USD,aq_USD_Value,aq_USD_Flags
0,Australia,Atlantic salmon [Salmo salar],2012,Tonnes,43982.0,,AUS_2012_SAL,US Dollar,529850926.0,
1,Australia,Atlantic salmon [Salmo salar],2013,Tonnes,42825.01,,AUS_2013_SAL,US Dollar,497895480.0,
2,Australia,Atlantic salmon [Salmo salar],2014,Tonnes,41590.66,,AUS_2014_SAL,US Dollar,386340304.0,
3,Australia,Atlantic salmon [Salmo salar],2015,Tonnes,48330.56,,AUS_2015_SAL,US Dollar,357099042.0,
4,Australia,Atlantic salmon [Salmo salar],2016,Tonnes,56115.197,,AUS_2016_SAL,US Dollar,438421494.0,
5,Australia,Atlantic salmon [Salmo salar],2017,Tonnes,52580.2,,AUS_2017_SAL,US Dollar,520459153.0,
6,Australia,Atlantic salmon [Salmo salar],2018,Tonnes,61227.0,,AUS_2018_SAL,US Dollar,585777510.0,
7,Australia,Atlantic salmon [Salmo salar],2019,Tonnes,56989.34,,AUS_2019_SAL,US Dollar,572465914.0,
8,Australia,Atlantic salmon [Salmo salar],2020,Tonnes,66918.495,,AUS_2020_SAL,US Dollar,597073273.0,
9,Australia,Atlantic salmon [Salmo salar],2021,Tonnes,84045.234,,AUS_2021_SAL,US Dollar,845045795.0,
10,Canada,Atlantic salmon [Salmo salar],2012,Tonnes,116101.0,,CAN_2012_SAL,US Dollar,635005952.0,
11,Canada,Atlantic salmon [Salmo salar],2013,Tonnes,97629.0,,CAN_2013_SAL,US Dollar,599933836.0,
12,Canada,Atlantic salmon [Salmo salar],2014,Tonnes,86347.0,,CAN_2014_SAL,US Dollar,510545303.0,
13,Canada,Atlantic salmon [Salmo salar],2015,Tonnes,121926.0,,CAN_2015_SAL,US Dollar,522894059.0,
14,Canada,Atlantic salmon [Salmo salar],2016,Tonnes,123522.0,,CAN_2016_SAL,US Dollar,771047100.0,
15,Canada,Atlantic salmon [Salmo salar],2017,Tonnes,120553.0,,CAN_2017_SAL,US Dollar,813567738.0,
16,Canada,Atlantic salmon [Salmo salar],2018,Tonnes,123184.0,,CAN_2018_SAL,US Dollar,859822509.0,
17,Canada,Atlantic salmon [Salmo salar],2019,Tonnes,118630.0,,CAN_2019_SAL,US Dollar,689091459.0,
18,Canada,Atlantic salmon [Salmo salar],2020,Tonnes,120427.0,,CAN_2020_SAL,US Dollar,612908252.0,
19,Canada,Atlantic salmon [Salmo salar],2021,Tonnes,120186.0,,CAN_2021_SAL,US Dollar,797193865.0,
20,Denmark,Atlantic salmon [Salmo salar],2012,Tonnes,0.2,,DNK_2012_SAL,US Dollar,1381.0,Estimated value
21,Denmark,Atlantic salmon [Salmo salar],2013,Tonnes,10.0,,DNK_2013_SAL,US Dollar,39172.0,
22,Denmark,Atlantic salmon [Salmo salar],2014,Tonnes,405.0,,DNK_2014_SAL,US Dollar,2186472.0,
23,Denmark,Atlantic salmon [Salmo salar],2015,Tonnes,428.0,,DNK_2015_SAL,US Dollar,2080231.0,
24,Denmark,Atlantic salmon [Salmo salar],2016,Tonnes,1289.0,,DNK_2016_SAL,US Dollar,6634836.0,
25,Denmark,Atlantic salmon [Salmo salar],2017,Tonnes,807.0,,DNK_2017_SAL,US Dollar,4277670.0,Estimated value
26,Denmark,Atlantic salmon [Salmo salar],2018,Tonnes,1030.0,,DNK_2018_SAL,US Dollar,5708975.0,Estimated value
