,Country,Species,Year,aq_TON,aq_TON_Value,aq_TON_Flags,COUNTRY_YEAR_SPECIES,aq_USD,aq_USD_Value,aq_USD_Flags
0,Australia,TOTAL SPECIES,2012,Tonnes,81832.82,,AUS_2012_SPECIES_TOTAL,US Dollar,969132342.0,
1,Australia,TOTAL SPECIES,2013,Tonnes,80061.471,,AUS_2013_SPECIES_TOTAL,US Dollar,941627189.0,
2,Australia,TOTAL SPECIES,2014,Tonnes,73177.49,,AUS_2014_SPECIES_TOTAL,US Dollar,714528621.0,
3,Australia,TOTAL SPECIES,2015,Tonnes,83074.9,,AUS_2015_SPECIES_TOTAL,US Dollar,667973688.0,
4,Australia,TOTAL SPECIES,2016,Tonnes,91596.891,,AUS_2016_SPECIES_TOTAL,US Dollar,753852106.0,
5,Australia,TOTAL SPECIES,2017,Tonnes,85335.483,,AUS_2017_SPECIES_TOTAL,US Dollar,822430766.0,
6,Australia,TOTAL SPECIES,2018,Tonnes,96131.687,,AUS_2018_SPECIES_TOTAL,US Dollar,930586713.0,
7,Australia,TOTAL SPECIES,2019,Tonnes,90879.907,,AUS_2019_SPECIES_TOTAL,US Dollar,883319525.0,
8,Australia,TOTAL SPECIES,2020,Tonnes,102674.9,,AUS_2020_SPECIES_TOTAL,US Dollar,971379052.0,
9,Australia,TOTAL SPECIES,2021,Tonnes,126206.338,,AUS_2021_SPECIES_TOTAL,US Dollar,1266956510.0,
10,Australia,FRESHWATER FISHES,2012,Tonnes,669.37,,AUS_2012_1,US Dollar,8179428.0,
11,Australia,FRESHWATER FISHES,2013,Tonnes,786.46,,AUS_2013_1,US Dollar,11162935.0,
12,Australia,FRESHWATER FISHES,2014,Tonnes,310.25,,AUS_2014_1,US Dollar,4070057.0,
13,Australia,FRESHWATER FISHES,2015,Tonnes,314.27,,AUS_2015_1,US Dollar,3552513.0,
14,Australia,FRESHWATER FISHES,2016,Tonnes,381.908,,AUS_2016_1,US Dollar,4136442.0,
15,Australia,FRESHWATER FISHES,2017,Tonnes,339.342,,AUS_2017_1,US Dollar,3840524.0,
16,Australia,FRESHWATER FISHES,2018,Tonnes,612.328,,AUS_2018_1,US Dollar,7005158.0,
17,Australia,FRESHWATER FISHES,2019,Tonnes,622.484,,AUS_2019_1,US Dollar,7258591.0,
18,Australia,FRESHWATER FISHES,2020,Tonnes,603.57,,AUS_2020_1,US Dollar,7378987.0,
19,Australia,FRESHWATER FISHES,2021,Tonnes,641.0,,AUS_2021_1,US Dollar,9412295.0,
20,Australia,MISCELLANEOUS FRESHWATER FISHES,2012,Tonnes,669.37,,AUS_2012_13,US Dollar,8179428.0,
21,Australia,MISCELLANEOUS FRESHWATER FISHES,2013,Tonnes,786.46,,AUS_2013_13,US Dollar,11162935.0,
22,Australia,MISCELLANEOUS FRESHWATER FISHES,2014,Tonnes,310.25,,AUS_2014_13,US Dollar,4070057.0,
23,Australia,MISCELLANEOUS FRESHWATER FISHES,2015,Tonnes,314.27,,AUS_2015_13,US Dollar,3552513.0,
24,Australia,MISCELLANEOUS FRESHWATER FISHES,2016,Tonnes,381.908,,AUS_2016_13,US Dollar,4136442.0,
