,Country,Species,Year,inland_Unit,inland_TON_Value,inland_TON_Flags,COUNTRY_YEAR_SPECIES
0,Australia,TOTAL SPECIES,2010,Tonnes,1376.0,,AUS_2010_SPECIES_TOTAL
1,Australia,TOTAL SPECIES,2011,Tonnes,1084.0,,AUS_2011_SPECIES_TOTAL
2,Australia,TOTAL SPECIES,2012,Tonnes,1074.0,,AUS_2012_SPECIES_TOTAL
3,Australia,TOTAL SPECIES,2013,Tonnes,1113.0,,AUS_2013_SPECIES_TOTAL
4,Australia,TOTAL SPECIES,2014,Tonnes,94.0,,AUS_2014_SPECIES_TOTAL
5,Australia,TOTAL SPECIES,2015,Tonnes,66.0,,AUS_2015_SPECIES_TOTAL
6,Australia,TOTAL SPECIES,2016,Tonnes,54.84,,AUS_2016_SPECIES_TOTAL
7,Australia,TOTAL SPECIES,2017,Tonnes,93.0,,AUS_2017_SPECIES_TOTAL
8,Australia,TOTAL SPECIES,2018,Tonnes,58.613,,AUS_2018_SPECIES_TOTAL
9,Australia,TOTAL SPECIES,2019,Tonnes,67.299,,AUS_2019_SPECIES_TOTAL
10,Australia,TOTAL SPECIES,2020,Tonnes,49.69,,AUS_2020_SPECIES_TOTAL
11,Australia,TOTAL SPECIES,2021,Tonnes,63.644,,AUS_2021_SPECIES_TOTAL
12,Australia,FRESHWATER FISHES,2010,Tonnes,1376.0,,AUS_2010_1
13,Australia,FRESHWATER FISHES,2011,Tonnes,1060.0,,AUS_2011_1
14,Australia,FRESHWATER FISHES,2012,Tonnes,1059.0,,AUS_2012_1
15,Australia,FRESHWATER FISHES,2013,Tonnes,1113.0,,AUS_2013_1
16,Australia,FRESHWATER FISHES,2014,Tonnes,94.0,,AUS_2014_1
17,Australia,FRESHWATER FISHES,2015,Tonnes,66.0,,AUS_2015_1
18,Australia,FRESHWATER FISHES,2016,Tonnes,54.84,,AUS_2016_1
19,Australia,FRESHWATER FISHES,2017,Tonnes,93.0,,AUS_2017_1
20,Australia,FRESHWATER FISHES,2018,Tonnes,58.613,,AUS_2018_1
21,Australia,FRESHWATER FISHES,2019,Tonnes,67.299,,AUS_2019_1
22,Australia,FRESHWATER FISHES,2020,Tonnes,49.69,,AUS_2020_1
23,Australia,FRESHWATER FISHES,2021,Tonnes,63.644,,AUS_2021_1
24,Australia,MISCELLANEOUS FRESHWATER FISHES,2010,Tonnes,1376.0,,AUS_2010_13
